question,answer,source,role,category
What is scope? (or named_scope in Rails 2.x).,Scopes are nothing more than SQL scope fragments. By using these fragments one can cut down on having to write long queries each time you access content.,http://anilpunjabi.tumblr.com/post/25948339235/ruby-and-rails-interview-questions-and-answers,AI Engineer,
How can you migrate your database schema one level down?,The rake tool does most of the migrations.,http://anilpunjabi.tumblr.com/post/25948339235/ruby-and-rails-interview-questions-and-answers,Backend Developer,
How can you implement caching in Rails?,Rails offers multiple ways to cache content.,http://anilpunjabi.tumblr.com/post/25948339235/ruby-and-rails-interview-questions-and-answers,AI Engineer,
What do controllers do in Rails?,"Once a request comes into the Rails stack, it goes to the routes table to determine which controller and action should be called.",http://anilpunjabi.tumblr.com/post/25948339235/ruby-and-rails-interview-questions-and-answers,AI Engineer,
How can you send a multi-part email?,"Nowadays most email clients support HTML email, however there are still some old Blackberry phones that prefer emails the 'ol text way.",http://anilpunjabi.tumblr.com/post/25948339235/ruby-and-rails-interview-questions-and-answers,AI Engineer,
How can you create a REST API for your application?,How can you define a new environment called 'staging’?,http://anilpunjabi.tumblr.com/post/25948339235/ruby-and-rails-interview-questions-and-answers,Backend Developer,
What is Capistrano?,Capistrano is a popular deployment tool – it allows developers to push code from their desktop to the servers.,http://anilpunjabi.tumblr.com/post/25948339235/ruby-and-rails-interview-questions-and-answers,Backend Developer,
How can you add a custom validation on your model?,Now custom validations takes it to the next step.,http://anilpunjabi.tumblr.com/post/25948339235/ruby-and-rails-interview-questions-and-answers,AI Engineer,
How can you install the missing gems that are required by your application in the simplest way?,This command will install all dependencies and missing gems. It looks at your Gemfile to figure out what gems are needed by your application.,http://anilpunjabi.tumblr.com/post/25948339235/ruby-and-rails-interview-questions-and-answers,UX Developer,
How can you implement a search feature that searches for multiple models?,If you are using acts_as_solr for your search you will be able to use multi_solr_search to enable search across multiple models.,http://anilpunjabi.tumblr.com/post/25948339235/ruby-and-rails-interview-questions-and-answers,AI Engineer,
How can you generate sitemaps for your Rails site?,You can use dynamic_sitemaps gem to generate sitemaps,http://anilpunjabi.tumblr.com/post/25948339235/ruby-and-rails-interview-questions-and-answers,AI Engineer,
Is Rails scalable?,"Yes Rails gives you complete freedom to use all traditional means of scaling an application. Things like memcached, caching full pages, caching fragments are all supported.",http://anilpunjabi.tumblr.com/post/25948339235/ruby-and-rails-interview-questions-and-answers,AI Engineer,
How can you safeguard a rails application from SQL injection attack?,Rails already has the logic built into it to prevent SQL injection attacks if you follow the right syntax.,http://anilpunjabi.tumblr.com/post/25948339235/ruby-and-rails-interview-questions-and-answers,Backend Developer,
How can you secure a rails application?,Rails has a lot of in-built capabilities to deal with common web-security issues.,http://anilpunjabi.tumblr.com/post/25948339235/ruby-and-rails-interview-questions-and-answers,AI Engineer,
How can rails engage with a SOA platform?,Overall Community Questions,http://anilpunjabi.tumblr.com/post/25948339235/ruby-and-rails-interview-questions-and-answers,AI Engineer,
Can you tell me a few good community resources for Rails?,"Stackoverflow, Github, various Meetup groups",http://anilpunjabi.tumblr.com/post/25948339235/ruby-and-rails-interview-questions-and-answers,AI Engineer,
What books can help me understand the basics of Ruby on Rails?,Best way to learn Ruby on Rails is to read every page from Michael Hartl’s : Ruby on Rails Tutorial  Ruby on Rails  and actually write code with each chapter. There’s no better way to learn than to actually code it !!!,http://anilpunjabi.tumblr.com/post/25948339235/ruby-and-rails-interview-questions-and-answers,AI Engineer,
) What are the different types of commonly used shells on a typical Linux system?,"csh,ksh,bash,Bourne . The most commonly used and advanced shell used today is “Bash” .",http://career.guru99.com/shell-scripting-interview-questions/,UX Developer,
) What is the equivalent of a file shortcut that we have a window on a Linux system?,Shortcuts are created using “links” on Linux. There are two types of links that can be used namely “soft link” and “hard link”.,http://career.guru99.com/shell-scripting-interview-questions/,UX Developer,
) How will you pass and access arguments to a script in Linux?,Arguments can be passed as:,http://career.guru99.com/shell-scripting-interview-questions/,UX Developer,
) How will you find the 99th line of a file using only tail and head command?,tail +99 file1|head -1,http://career.guru99.com/shell-scripting-interview-questions/,AI Engineer,
") In my bash shell I want my prompt to be of format  ‘$”Present working directory”:”hostname”>  and load a file containing a list of user-defined functions as soon as I log in, how will you automate this?","In bash shell, we can create “.profile”  file which automatically gets invoked as soon as I log in and write the following syntax into it.",http://career.guru99.com/shell-scripting-interview-questions/,AI Engineer,
) Explain about “s” permission bit in a file?,“s” bit is called “set user id” (SUID) bit.,http://career.guru99.com/shell-scripting-interview-questions/,AI Engineer,
) How will you connect to a database server from Linux?,We can use isql utility that comes with open client driver  as follows:,http://career.guru99.com/shell-scripting-interview-questions/,Backend Developer,
) What are the 3 standard streams in Linux?,0 – Standard Input1 – Standard Output2 – Standard Error,http://career.guru99.com/shell-scripting-interview-questions/,UX Developer,
) What are the four fundamental components of every file system on Linux?,"Bootblock, super block, inode block and  Datablock are found fundamental components of every file system on Linux.",http://career.guru99.com/shell-scripting-interview-questions/,UX Developer,
) How can I send a mail with a compressed file as an attachment?,zip file1.zip file1|mailx –s “subject” Recipients email id,http://career.guru99.com/shell-scripting-interview-questions/,AI Engineer,
) What are the layers of the OSI reference model?,"There are 7 OSI layers: 1) Physical Layer, 2) Data Link Layer, 3) Network Layer, 4) Transport Layer, 5) Session Layer, 6) Presentation Layer, and 7) Application Layer.",http://career.guru99.com/top-100-networking-interview-questions-answers/,AI Engineer,
) What is the job of the Network Layer under the OSI reference model?,"The Network layer is responsible for data routing, packet switching, and control of network congestion. Routers operate under this layer.",http://career.guru99.com/top-100-networking-interview-questions-answers/,AI Engineer,
) What is the purpose of cables being shielded and having twisted pairs?,The primary purpose of this is to prevent crosstalk. Crosstalk’s are electromagnetic interferences or noise that can affect data being transmitted across cables.,http://career.guru99.com/top-100-networking-interview-questions-answers/,AI Engineer,
) What is the equivalent layer or layers of the TCP/IP Application layer in terms of the OSI reference model?,"The TCP/IP Application layer has three counterparts on the OSI model: 1) Session Layer, 2) Presentation Layer, and 3) Application Layer.",http://career.guru99.com/top-100-networking-interview-questions-answers/,AI Engineer,
) What is the main purpose of OSPF?,"OSPF, or Open Shortest Path First, is a link-state routing protocol that uses routing tables to determine the best possible path for data exchange.",http://career.guru99.com/top-100-networking-interview-questions-answers/,AI Engineer,
) What is the main disadvantage of a peer to peer network?,Accessing the resources that are shared by one of the workstations on the network takes a performance hit.,http://career.guru99.com/top-100-networking-interview-questions-answers/,AI Engineer,
) What is the main job of the ARP?,The main task of the ARP or Address Resolution Protocol is to map a known IP address to a MAC layer address.,http://career.guru99.com/top-100-networking-interview-questions-answers/,AI Engineer,
) What is the standard color sequence of a straight-through cable?,"Orange/white, orange, green/white, blue, blue/white, green, brown/white, brown.",http://career.guru99.com/top-100-networking-interview-questions-answers/,AI Engineer,
) What is the difference between a straight-through and crossover cable?,"A straight-through cable is used to connect computers to a switch, hub, or router. A crossover cable is used to connect two similar devices, such as a PC to PC or Hub, to the Hub.",http://career.guru99.com/top-100-networking-interview-questions-answers/,AI Engineer,
) What is the importance of Encryption on a network?,Encryption is the process of translating information into a code that is unreadable by the user. It is then translated back or decrypted back to its normal readable format using a secret key or password. Encryption ensures that information that is intercepted halfway would remain unreadable because the user must have the correct password or key for it.,http://career.guru99.com/top-100-networking-interview-questions-answers/,Cybersecurity Analyst,
) How does dynamic host configuration protocol aid in network administration?,"Instead of having to visit each client computer to configure a static IP address, the network administrator can apply dynamic host configuration protocol to create a pool of IP addresses known as scopes that can be dynamically assigned to clients.",http://career.guru99.com/top-100-networking-interview-questions-answers/,AI Engineer,
) What is one basic requirement for establishing VLANs?,A VLAN is required because at the switch level.  There is only one broadcast domain. It means whenever a new user is connected to switch. This information is spread throughout the network. VLAN on switch helps to create a separate broadcast domain at the switch level. It is used for security purposes.,http://career.guru99.com/top-100-networking-interview-questions-answers/,UX Developer,
) Why the standard OSI model is known as 802.xx?,"The OSI model was started in February 1980. In 802.XX, ’80’ stands for the year 1980, and ‘2’ represents the month of February.",http://career.guru99.com/top-100-networking-interview-questions-answers/,AI Engineer,
) What is the main difference between PHP 4 and PHP 5?,PHP 5 presents many additional OOP (Object Oriented Programming) features.,http://career.guru99.com/top-100-php-interview-questions-answers/,AI Engineer,
) How can PHP and HTML interact?,"It is possible to generate HTML through PHP scripts, and it is possible to pass pieces of information from HTML to PHP.",http://career.guru99.com/top-100-php-interview-questions-answers/,Frontend Developer,
