question,ideal_answer,user_answer,score
Which among the following is more precedent: CSS properties or HTML procedures?,"CSS is more precedent over HTML procedures. Browsers, which do not have CSS support, display HTML attributes.","CSS is more precedent over HTML procedures. Browsers, which do not have CSS support, display HTML attributes.",1.0
Which among the following is more precedent: CSS properties or HTML procedures?,"CSS is more precedent over HTML procedures. Browsers, which do not have CSS support, display HTML attributes.","CSS is more precedent over HTML procedures. Browsers,",0.55
Which among the following is more precedent: CSS properties or HTML procedures?,"CSS is more precedent over HTML procedures. Browsers, which do not have CSS support, display HTML attributes.",No idea.,0.02
Is it better to directly remove the container using the rm command or stop the container followed by remove container?,Its always better to stop the container and then remove it using the remove command.,Its always better to stop the container and then remove it using the remove command.,1.0
Is it better to directly remove the container using the rm command or stop the container followed by remove container?,Its always better to stop the container and then remove it using the remove command.,Its always better to stop the container an,0.55
Is it better to directly remove the container using the rm command or stop the container followed by remove container?,Its always better to stop the container and then remove it using the remove command.,Maybe it's related to the frontend?,0.14
What is a Dockerfile?,Let’s start by giving a small explanation of Dockerfile and proceed by giving examples and commands to support your arguments.,Let’s start by giving a small explanation of Dockerfile and proceed by giving examples and commands to support your arguments.,1.0
What is a Dockerfile?,Let’s start by giving a small explanation of Dockerfile and proceed by giving examples and commands to support your arguments.,Let’s start by giving a small explanation of Dockerfile and pro,0.53
What is a Dockerfile?,Let’s start by giving a small explanation of Dockerfile and proceed by giving examples and commands to support your arguments.,I think it's about something technical.,0.09
How to Implement SPA using angular-UI Route?,"Angular UI route helps to implement SPA concept using the concept of STATES. The main goal of SPA is navigating from one view to other view without reloading the main page. Angular UI route visualizes every view as a STATE. When you want to navigate from one view to other view, you can either use the STATE names or use URL.","Angular UI route helps to implement SPA concept using the concept of STATES. The main goal of SPA is navigating from one view to other view without reloading the main page. Angular UI route visualizes every view as a STATE. When you want to navigate from one view to other view, you can either use the STATE names or use URL.",1.0
How to Implement SPA using angular-UI Route?,"Angular UI route helps to implement SPA concept using the concept of STATES. The main goal of SPA is navigating from one view to other view without reloading the main page. Angular UI route visualizes every view as a STATE. When you want to navigate from one view to other view, you can either use the STATE names or use URL.",Angular UI route helps to implement SPA concept using the concept of STATES. The main goal of SPA is navigating from one view to other view without reloading the,0.42
How to Implement SPA using angular-UI Route?,"Angular UI route helps to implement SPA concept using the concept of STATES. The main goal of SPA is navigating from one view to other view without reloading the main page. Angular UI route visualizes every view as a STATE. When you want to navigate from one view to other view, you can either use the STATE names or use URL.",I think it's about something technical.,0.04
How many types of API functions are there in Node.js?,There are two types of API functions:,There are two types of API functions:,1.0
How many types of API functions are there in Node.js?,There are two types of API functions:,I think it's about something technical.,0.15
: What is the Basic Difference Between UNIX and Linux?,"UNIX is a proprietary operating system originally developed at AT&T’s Bell Labs in the 1970s. Linux, on the other hand, is a UNIX-like operating system that is free and open-source.","UNIX is a proprietary operating system originally developed at AT&T’s Bell Labs in the 1970s. Linux, on the other hand, is a UNIX-like operating system that is free and open-source.",1.0
